"title","producer","year","genre","language","plot"
"Lost World: Jurassic Park","John DeBont",1997,"Adventure, Science Fiction","English","A group of explorers find themselves stranded on an island with dinosaurs."
"Space Adventures","Ivan Ivanov",2020,"Science Fiction, Adventure","Russian","A spaceship gets lost in space and tries to find its way back to Earth."
"Lost","Anna Petrova",2015,"Drama, Thriller","Russian","A group of travelers gets trapped in the mountains and encounters an unknown danger."
"Deserted Island","Mark Smith",2008,"Drama, Thriller","English","A group of survivors finds themselves on a deserted island, where they must survive and find a way out."
"Night of Horror","Jessica Jones",2012,"Horror, Thriller","English","A young couple finds themselves in an abandoned mansion where strange events begin to occur."
"Inception","Christopher Nolan",2010,"Action","English","A thief who enters the dreams of others to steal secrets from their subconscious."
"The Shawshank Redemption","Frank Darabont",1994,"Drama","English","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
"The Godfather","Francis Ford Coppola",1972,"Crime","English","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
"The Dark Knight","Christopher Nolan",2008,"Action","English","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
"Pulp Fiction","Quentin Tarantino",1994,"Crime","English","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"Forrest Gump","Robert Zemeckis",1994,"Drama","English","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"Fight Club","David Fincher",1999,"Drama","English","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
"The Matrix","Lana Wachowski, Lilly Wachowski",1999,"Action","English","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
"Interstellar","Christopher Nolan",2014,"Adventure","English","A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival."
"Se7en","David Fincher",1995,"Crime","English","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
"Goodfellas","Martin Scorsese",1990,"Biography","English","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
"Léon: The Professional","Luc Besson",1994,"Action","English","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassins trade."
"The Sixth Sense","M. Night Shyamalan",1999,"Drama","English","A boy who communicates with spirits seeks the help of a disheartened child psychologist."
"Шал","Yermek Tursunov",2012,"drama","Kazakh","A drama film that explores the complexities of love and relationships in modern-day Kazakhstan."
"Менің Қазақстаным","Darezhan Omirbaev",2018,"drama","Kazakh","A drama film that reflects on the identity and history of Kazakhstan through the eyes of its people."
