"title","producer","year","genre","language","plot"
"The Lion King","Roger Allers, Rob Minkoff",1994,"Animation, Adventure, Drama","English","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
"Spirited Away","Hayao Miyazaki",2001,"Animation, Adventure, Family","Japanese","During her familys move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
"The Shawshank Redemption","Frank Darabont",1994,"Drama","English","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
"The Godfather","Francis Ford Coppola",1972,"Crime, Drama","English","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
"Forrest Gump","Robert Zemeckis",1994,"Drama, Romance","English","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"The Dark Knight","Christopher Nolan",2008,"Action, Crime, Drama","English","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
"Fight Club","David Fincher",1999,"Drama","English","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
"Pulp Fiction","Quentin Tarantino",1994,"Crime, Drama","English","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"The Matrix","Lana Wachowski, Lilly Wachowski",1999,"Action, Sci-Fi","English","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
"Interstellar","Christopher Nolan",2014,"Adventure, Drama, Sci-Fi","English","A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival."
"Inception","Christopher Nolan",2010,"Action, Adventure, Sci-Fi","English","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
"The Lord of the Rings: The Return of the King","Peter Jackson",2003,"Adventure, Drama, Fantasy","English","Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"Gladiator","Ridley Scott",2000,"Action, Adventure, Drama","English","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"The Silence of the Lambs","Jonathan Demme",1991,"Crime, Drama, Thriller","English","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"The Prestige","Christopher Nolan",2006,"Drama, Mystery, Sci-Fi","English","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
"The Hows of Us","Cathy Garcia-Molina",2018,"romance, drama","Filipino","A romance drama film that explores the challenges faced by a couple in a long-term relationship, as they navigate through issues of commitment and personal growth."
"Four Sisters and a Wedding","Cathy Garcia-Molina",2013,"comedy, drama","Filipino","A comedy-drama film about four sisters who reunite for their youngest sibling's wedding, leading to conflicts and revelations about their family dynamics."
"Honor Thy Father","Erik Matti",2015,"crime, drama","Filipino","A crime drama film that follows the story of a man who gets involved in a Ponzi scheme orchestrated by a religious group, leading to a desperate struggle for survival."
"Metro Manila","Sean Ellis",2013,"crime, drama","Filipino","A crime drama film about a rural family who moves to Metro Manila in search of a better life, only to find themselves caught up in the city's underworld of crime and corruption."
